b_over_M,r1_over_M,r2_over_M,r3_over_M,dr1_db,dr2_db,dr3_db
5.214278489240117,4.302761887876672,3.1746498189006056,9.808688343096744,0.9843367101683498,7.382203917404382,1149.1116863677585
5.221163112322178,4.309538806539414,3.225900779092156,22.257049162687817,0.9843748190475026,7.507719042233475,
5.23,4.31823783197477,3.2929653900132516,,0.9844235324277975,7.6728668453985165,
5.24,4.328082342297777,3.3706412297166963,,0.9844778980526852,7.87780933513991,
5.354576271186441,4.440915417534219,4.4179520421999205,,0.9850810572099995,10.835280739035502,
5.469152542372882,4.553816171000815,5.853573358390599,,0.985654862845216,15.220657124718624,
5.583728813559322,4.666780735257393,7.905804318915091,,0.9861961764687877,22.5716851516663,
5.698305084745763,4.779805532117052,11.025932396535145,,0.9867074067346877,36.40636941637521,
5.812881355932204,4.8928872460888,16.248416429243797,,0.9871907430782052,67.88685561157394,
5.9274576271186445,5.006022800700397,26.582377953628047,,0.9876481792442178,173.57811359256735,
6.042033898305085,5.11920933733256,56.02428245926947,,0.988081533905401,2959.9560448549355,
6.156610169491525,5.232444196266514,704.8638309441086,,0.9884924688064132,,
6.271186440677966,5.345724899675996,,,0.9888825047350522,,
6.385762711864407,5.459049136334615,,,0.9892530356447509,,
6.500338983050847,5.572414747844079,,,0.9896053411398711,,
6.614915254237289,5.6858197162026,,,0.9899405975486602,,
6.729491525423729,5.799262152570484,,,0.9902598877783717,,
6.84406779661017,5.912740287096899,,,0.9905642100766379,,
6.958644067796611,6.02625245969313,,,0.990854485855106,,
7.073220338983051,6.139797111652169,,,0.9911315666807994,,
7.1877966101694915,6.253372778024053,,,0.9913962405350745,,
7.302372881355932,6.366978080669698,,,0.9916492374295878,,
7.416949152542373,6.4806117219231725,,,0.9918912344522433,,
7.531525423728814,6.594272478801806,,,0.9921228603009951,,
7.646101694915254,6.7079591977074,,,0.9923446993835725,,
7.760677966101695,6.821670789575805,,,0.9925572955092434,,
7.875254237288136,6.935406225424094,,,0.9927611552209221,,
